player_id,score,username,user_url,user_stats_url,country,location,joined,status,is_streamer,chess_blitz_last_rating,chess_blitz_last_date,chess_blitz_best_rating,chess_blitz_best_date,chess_blitz_record_win,chess_blitz_record_loss,chess_blitz_record_draw,chess_bullet_last_rating,chess_bullet_last_date,chess_bullet_best_rating,chess_bullet_best_date,chess_bullet_record_win,chess_bullet_record_loss,chess_bullet_record_draw,chess_daily_last_rating,chess_daily_last_date,chess_daily_best_rating,chess_daily_best_date,chess_daily_record_win,chess_daily_record_loss,chess_daily_record_draw,chess_rapid_last_rating,chess_rapid_last_date,chess_rapid_best_rating,chess_rapid_best_date,chess_rapid_record_win,chess_rapid_record_loss,chess_rapid_record_draw,tactics_highest_rating,tactics_highest_date,lessons_highest_rating,lessons_highest_date,puzzle_rush_best_total_attempts,puzzle_rush_best_score,puzzle_rush_daily_total_attempts,puzzle_rush_daily_score
38041432,28,eric_zhihao,https://api.chess.com/pub/player/eric_zhihao,https://api.chess.com/pub/player/eric_zhihao/stats,CN,,2017/08/22,basic,False,1864,2020/05/05,1878,2020/01/14,27,15,2,1742,2020/02/18,1751,2020/01/20,13,5,2,,,,,,,,1974,2020/06/13,2002,2020/06/13,2,0,2,1359,2017/11/11,,,36,33,31,28
2253510,25,abadonexterminador,https://api.chess.com/pub/player/AbadonExterminador,https://api.chess.com/pub/player/AbadonExterminador/stats,XX,Abadón,2009/10/25,premium,False,1664,2020/08/18,1664,2020/08/18,7014,7479,692,,,,,,,,1519,2020/04/12,1574,2020/04/07,6,3,3,1567,2020/07/19,1652,2017/05/06,853,873,102,1936,2011/07/09,1723,2018/08/19,32,29,30,27
45471488,23,kazomirych,https://api.chess.com/pub/player/Kazomirych,https://api.chess.com/pub/player/Kazomirych/stats,UA,,2018/04/20,basic,False,1879,2020/08/17,2056,2020/02/11,2344,1706,226,,,,,,,,,,,,,,,,,,,,,,687,2020/08/17,,,30,29,25,23
30531140,23,rogerionf,https://api.chess.com/pub/player/Rogerionf,https://api.chess.com/pub/player/Rogerionf/stats,BR,Rio Branco -AC,2016/10/22,basic,False,1695,2020/08/17,1697,2020/08/12,1990,2079,178,1531,2020/07/23,1577,2020/07/14,416,409,23,1471,2019/12/03,1479,2018/12/12,15,11,1,1281,2019/01/18,1393,2018/11/15,9,8,0,2327,2020/01/27,1626,2019/07/26,32,29,24,23
17137498,23,zeroufal,https://api.chess.com/pub/player/zeroufal,https://api.chess.com/pub/player/zeroufal/stats,BR,Porto Alegre,2014/05/01,premium,False,1674,2020/08/05,1683,2020/07/22,260,231,20,1456,2020/08/05,1481,2020/07/01,1105,1021,50,,,,,,,,1549,2020/07/22,1589,2020/04/24,22,13,2,2294,2020/06/08,1533,2014/05/01,29,26,26,23
6769405,22,djdennyb,https://api.chess.com/pub/player/DjDennyB,https://api.chess.com/pub/player/DjDennyB/stats,US,,2012/02/25,premium,False,1231,2020/08/18,1276,2020/02/03,1953,2514,81,853,2020/03/28,1200,2012/02/25,10,28,0,1424,2017/04/17,1532,2015/08/21,17,14,1,1228,2018/08/05,1362,2012/04/11,56,56,4,1755,2020/02/19,1400,2017/01/28,25,22,25,22
11562552,22,czimmer83,https://api.chess.com/pub/player/czimmer83,https://api.chess.com/pub/player/czimmer83/stats,CA,Toronto,2013/04/17,basic,False,1323,2020/07/16,1451,2019/10/05,5093,5153,433,1059,2020/08/18,1213,2020/04/13,3286,3258,183,,,,,,,,1300,2020/07/16,1355,2020/01/09,306,177,28,1330,2018/11/29,1615,2017/05/01,28,25,25,22
55377090,21,kimmm24,https://api.chess.com/pub/player/kimmm24,https://api.chess.com/pub/player/kimmm24/stats,ID,,2018/12/31,basic,False,1482,2020/08/18,1658,2020/04/23,1085,935,46,1053,2020/05/23,1140,2019/06/01,239,176,6,,,,,,,,1351,2019/01/21,1688,2019/01/04,21,13,2,2095,2020/08/08,,,30,27,24,21
36823836,21,hanjukuren,https://api.chess.com/pub/player/Hanjukuren,https://api.chess.com/pub/player/Hanjukuren/stats,US,,2017/07/05,premium,False,2048,2020/07/29,2109,2018/10/25,2166,2016,121,1488,2020/08/18,1844,2019/01/31,10554,10459,155,,,,,,,,,,,,,,,2318,2019/04/19,1952,2019/01/13,45,42,31,28
72402758,20,legend_77,https://api.chess.com/pub/player/Legend_77,https://api.chess.com/pub/player/Legend_77/stats,IN,,2020/02/19,basic,False,1022,2020/07/27,1217,2020/02/22,29,38,1,,,,,,,,,,,,,,,1328,2020/07/13,1336,2020/07/08,12,8,1,1080,2020/08/18,,,26,23,23,20
